subject,body,label
Urgent response needed,Claim your free gift now.,spam
Project deadline,"Just checking in, hope you're doing well.",ham
Win a million dollars now,Click this link to claim your prize.,spam
Lunch with John,Please confirm your availability for tomorrow's meeting.,ham
How are you doing?,Here is the weekly newsletter.,ham
Limited time offer,Get a special discount on our services. Limited time offer.,spam
Project deadline,Reminder for the event this Saturday.,ham
Lunch with John,The project deadline is next week.,ham
"Congratulations, claim your prize","Congratulations, you have won a lottery! Follow the link to claim.",spam
Act now to secure your spot,"Act fast, time is running out!",spam
Act now to secure your spot,Click this link to claim your prize.,spam
Act now to secure your spot,Unlock your full potential with our course.,spam
Free gift inside,Complete this survey and win amazing prizes.,spam
Earn money fast,Unlock your full potential with our course.,spam
Limited time offer,Earn up to $5000 a week from home!,spam
Family reunion next week,"Just checking in, hope you're doing well.",ham
Act now to secure your spot,Get a special discount on our services. Limited time offer.,spam
Your order has been shipped,Your invoice for the last month is attached.,ham
Earn money fast,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Special discount just for you,"Act fast, time is running out!",spam
Special discount just for you,Earn up to $5000 a week from home!,spam
Project deadline,"Just checking in, hope you're doing well.",ham
Family reunion next week,Your invoice for the last month is attached.,ham
You have won a lottery,Win big with our new lottery draw!,spam
Limited time offer,"Buy one, get one free for a limited time only!",spam
Act now to secure your spot,Claim your free gift now.,spam
Meeting tomorrow,The project deadline is next week.,ham
How are you doing?,The project deadline is next week.,ham
Project deadline,Please confirm your availability for tomorrow's meeting.,ham
Weekly newsletter,You're invited to a party this weekend.,ham
Invitation to a party,Your order has been shipped and will arrive soon.,ham
Get rich quickly,"Act fast, time is running out!",spam
Project deadline,Your invoice for the last month is attached.,ham
Your order has been shipped,Your order has been shipped and will arrive soon.,ham
Act now to secure your spot,Complete this survey and win amazing prizes.,spam
Get rich quickly,"Act fast, time is running out!",spam
How are you doing?,The project deadline is next week.,ham
Act now to secure your spot,Earn up to $5000 a week from home!,spam
Meeting tomorrow,Please confirm your availability for tomorrow's meeting.,ham
Family reunion next week,Looking forward to seeing you at the family reunion.,ham
Your order has been shipped,Please confirm your availability for tomorrow's meeting.,ham
Reminder: upcoming event,"Just checking in, hope you're doing well.",ham
Act now to secure your spot,Earn up to $5000 a week from home!,spam
Win a million dollars now,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Special discount just for you,Get a special discount on our services. Limited time offer.,spam
You have won a lottery,Claim your free gift now.,spam
"Congratulations, claim your prize",Complete this survey and win amazing prizes.,spam
Reminder: upcoming event,Your invoice for the last month is attached.,ham
Urgent response needed,Unlock your full potential with our course.,spam
Get rich quickly,Unlock your full potential with our course.,spam
Win a million dollars now,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Family reunion next week,Looking forward to seeing you at the family reunion.,ham
Limited time offer,"Act fast, time is running out!",spam
Weekly newsletter,Your invoice for the last month is attached.,ham
Meeting tomorrow,The project deadline is next week.,ham
Special discount just for you,Click this link to claim your prize.,spam
Win a million dollars now,Earn up to $5000 a week from home!,spam
Lunch with John,Your order has been shipped and will arrive soon.,ham
"Congratulations, claim your prize","Congratulations, you have won a lottery! Follow the link to claim.",spam
Get rich quickly,Earn up to $5000 a week from home!,spam
Your order has been shipped,Please confirm your availability for tomorrow's meeting.,ham
Project deadline,"Just checking in, hope you're doing well.",ham
Free gift inside,"Buy one, get one free for a limited time only!",spam
Reminder: upcoming event,Are you available for lunch tomorrow?,ham
Meeting tomorrow,You're invited to a party this weekend.,ham
Meeting tomorrow,Are you available for lunch tomorrow?,ham
Project deadline,You're invited to a party this weekend.,ham
Your order has been shipped,You're invited to a party this weekend.,ham
Your order has been shipped,You're invited to a party this weekend.,ham
Urgent response needed,Get a special discount on our services. Limited time offer.,spam
Limited time offer,Click this link to claim your prize.,spam
Invitation to a party,You're invited to a party this weekend.,ham
Meeting tomorrow,"Just checking in, hope you're doing well.",ham
Win a million dollars now,"Act fast, time is running out!",spam
Win a million dollars now,Win big with our new lottery draw!,spam
Lunch with John,Looking forward to seeing you at the family reunion.,ham
You have won a lottery,Click this link to claim your prize.,spam
Win a million dollars now,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Family reunion next week,Are you available for lunch tomorrow?,ham
Lunch with John,The project deadline is next week.,ham
Limited time offer,Complete this survey and win amazing prizes.,spam
"Congratulations, claim your prize",Claim your free gift now.,spam
Special discount just for you,Get a special discount on our services. Limited time offer.,spam
"Congratulations, claim your prize",Click this link to claim your prize.,spam
You have won a lottery,Win big with our new lottery draw!,spam
Your invoice is ready,"Just checking in, hope you're doing well.",ham
Invitation to a party,Please confirm your availability for tomorrow's meeting.,ham
Win a million dollars now,Unlock your full potential with our course.,spam
Meeting tomorrow,"Just checking in, hope you're doing well.",ham
Weekly newsletter,Here is the weekly newsletter.,ham
Limited time offer,Win big with our new lottery draw!,spam
Invitation to a party,"Just checking in, hope you're doing well.",ham
Win a million dollars now,Unlock your full potential with our course.,spam
Your order has been shipped,Are you available for lunch tomorrow?,ham
"Congratulations, claim your prize",Complete this survey and win amazing prizes.,spam
Your order has been shipped,Are you available for lunch tomorrow?,ham
Reminder: upcoming event,"Just checking in, hope you're doing well.",ham
Special discount just for you,Earn up to $5000 a week from home!,spam
Limited time offer,Click this link to claim your prize.,spam
Limited time offer,Claim your free gift now.,spam
Get rich quickly,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Meeting tomorrow,Please confirm your availability for tomorrow's meeting.,ham
Your invoice is ready,Are you available for lunch tomorrow?,ham
Earn money fast,Claim your free gift now.,spam
"Congratulations, claim your prize",Click this link to claim your prize.,spam
Invitation to a party,Your order has been shipped and will arrive soon.,ham
Your order has been shipped,Your invoice for the last month is attached.,ham
Meeting tomorrow,Please confirm your availability for tomorrow's meeting.,ham
You have won a lottery,Earn up to $5000 a week from home!,spam
Earn money fast,Win big with our new lottery draw!,spam
Act now to secure your spot,Claim your free gift now.,spam
Meeting tomorrow,Are you available for lunch tomorrow?,ham
Special discount just for you,Earn up to $5000 a week from home!,spam
Your order has been shipped,Here is the weekly newsletter.,ham
Meeting tomorrow,The project deadline is next week.,ham
Your order has been shipped,Reminder for the event this Saturday.,ham
Lunch with John,The project deadline is next week.,ham
You have won a lottery,Win big with our new lottery draw!,spam
Project deadline,Looking forward to seeing you at the family reunion.,ham
Weekly newsletter,Looking forward to seeing you at the family reunion.,ham
Limited time offer,Get a special discount on our services. Limited time offer.,spam
Weekly newsletter,Your order has been shipped and will arrive soon.,ham
Reminder: upcoming event,Here is the weekly newsletter.,ham
Your order has been shipped,Your invoice for the last month is attached.,ham
Act now to secure your spot,Complete this survey and win amazing prizes.,spam
Weekly newsletter,"Just checking in, hope you're doing well.",ham
Act now to secure your spot,Click this link to claim your prize.,spam
Project deadline,You're invited to a party this weekend.,ham
Lunch with John,You're invited to a party this weekend.,ham
Lunch with John,Your order has been shipped and will arrive soon.,ham
Reminder: upcoming event,"Just checking in, hope you're doing well.",ham
Limited time offer,"Act fast, time is running out!",spam
Lunch with John,The project deadline is next week.,ham
Earn money fast,Complete this survey and win amazing prizes.,spam
Project deadline,The project deadline is next week.,ham
Limited time offer,Claim your free gift now.,spam
Get rich quickly,Claim your free gift now.,spam
Weekly newsletter,The project deadline is next week.,ham
Get rich quickly,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Lunch with John,Your invoice for the last month is attached.,ham
Reminder: upcoming event,Are you available for lunch tomorrow?,ham
Reminder: upcoming event,Your invoice for the last month is attached.,ham
How are you doing?,Your invoice for the last month is attached.,ham
Family reunion next week,Looking forward to seeing you at the family reunion.,ham
"Congratulations, claim your prize",Win big with our new lottery draw!,spam
Act now to secure your spot,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Free gift inside,Complete this survey and win amazing prizes.,spam
Project deadline,Here is the weekly newsletter.,ham
Your order has been shipped,Reminder for the event this Saturday.,ham
Weekly newsletter,You're invited to a party this weekend.,ham
Earn money fast,Win big with our new lottery draw!,spam
Family reunion next week,You're invited to a party this weekend.,ham
Special discount just for you,Complete this survey and win amazing prizes.,spam
Lunch with John,Looking forward to seeing you at the family reunion.,ham
Invitation to a party,Your order has been shipped and will arrive soon.,ham
Urgent response needed,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Get rich quickly,Earn up to $5000 a week from home!,spam
You have won a lottery,Earn up to $5000 a week from home!,spam
Special discount just for you,"Buy one, get one free for a limited time only!",spam
How are you doing?,"Just checking in, hope you're doing well.",ham
You have won a lottery,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Reminder: upcoming event,Are you available for lunch tomorrow?,ham
Weekly newsletter,Your invoice for the last month is attached.,ham
Meeting tomorrow,Here is the weekly newsletter.,ham
Your order has been shipped,"Just checking in, hope you're doing well.",ham
Free gift inside,"Act fast, time is running out!",spam
How are you doing?,Your order has been shipped and will arrive soon.,ham
Earn money fast,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Weekly newsletter,Here is the weekly newsletter.,ham
Your invoice is ready,Reminder for the event this Saturday.,ham
Meeting tomorrow,Are you available for lunch tomorrow?,ham
Lunch with John,Are you available for lunch tomorrow?,ham
"Congratulations, claim your prize","Act fast, time is running out!",spam
Free gift inside,Complete this survey and win amazing prizes.,spam
Urgent response needed,"Buy one, get one free for a limited time only!",spam
Invitation to a party,Are you available for lunch tomorrow?,ham
Family reunion next week,The project deadline is next week.,ham
Your invoice is ready,Please confirm your availability for tomorrow's meeting.,ham
Meeting tomorrow,You're invited to a party this weekend.,ham
Get rich quickly,Click this link to claim your prize.,spam
Family reunion next week,Looking forward to seeing you at the family reunion.,ham
How are you doing?,Looking forward to seeing you at the family reunion.,ham
Limited time offer,Earn up to $5000 a week from home!,spam
Your invoice is ready,Please confirm your availability for tomorrow's meeting.,ham
Free gift inside,"Congratulations, you have won a lottery! Follow the link to claim.",spam
You have won a lottery,Earn up to $5000 a week from home!,spam
Win a million dollars now,Win big with our new lottery draw!,spam
Win a million dollars now,"Buy one, get one free for a limited time only!",spam
Your invoice is ready,Your order has been shipped and will arrive soon.,ham
"Congratulations, claim your prize",Unlock your full potential with our course.,spam
Weekly newsletter,Your invoice for the last month is attached.,ham
Get rich quickly,Complete this survey and win amazing prizes.,spam
Act now to secure your spot,"Buy one, get one free for a limited time only!",spam
Special discount just for you,Click this link to claim your prize.,spam
Act now to secure your spot,"Act fast, time is running out!",spam
Free gift inside,Complete this survey and win amazing prizes.,spam
Project deadline,Here is the weekly newsletter.,ham
Special discount just for you,Win big with our new lottery draw!,spam
How are you doing?,The project deadline is next week.,ham
Free gift inside,Unlock your full potential with our course.,spam
Special discount just for you,Win big with our new lottery draw!,spam
Earn money fast,Unlock your full potential with our course.,spam
You have won a lottery,Click this link to claim your prize.,spam
You have won a lottery,Claim your free gift now.,spam
Lunch with John,You're invited to a party this weekend.,ham
Project deadline,Reminder for the event this Saturday.,ham
Weekly newsletter,Your invoice for the last month is attached.,ham
Family reunion next week,Are you available for lunch tomorrow?,ham
Urgent response needed,Get a special discount on our services. Limited time offer.,spam
Project deadline,Looking forward to seeing you at the family reunion.,ham
Project deadline,Please confirm your availability for tomorrow's meeting.,ham
Reminder: upcoming event,Reminder for the event this Saturday.,ham
Your order has been shipped,"Just checking in, hope you're doing well.",ham
"Congratulations, claim your prize",Earn up to $5000 a week from home!,spam
Your invoice is ready,Your invoice for the last month is attached.,ham
Invitation to a party,Reminder for the event this Saturday.,ham
Your order has been shipped,Reminder for the event this Saturday.,ham
Urgent response needed,Click this link to claim your prize.,spam
Act now to secure your spot,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Meeting tomorrow,Are you available for lunch tomorrow?,ham
Free gift inside,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Meeting tomorrow,Please confirm your availability for tomorrow's meeting.,ham
Reminder: upcoming event,Please confirm your availability for tomorrow's meeting.,ham
Family reunion next week,"Just checking in, hope you're doing well.",ham
Your invoice is ready,You're invited to a party this weekend.,ham
Your order has been shipped,Please confirm your availability for tomorrow's meeting.,ham
Your order has been shipped,Reminder for the event this Saturday.,ham
Invitation to a party,Please confirm your availability for tomorrow's meeting.,ham
Reminder: upcoming event,"Just checking in, hope you're doing well.",ham
Your order has been shipped,Here is the weekly newsletter.,ham
Weekly newsletter,Looking forward to seeing you at the family reunion.,ham
Free gift inside,Click this link to claim your prize.,spam
Invitation to a party,Here is the weekly newsletter.,ham
Get rich quickly,Complete this survey and win amazing prizes.,spam
Project deadline,Are you available for lunch tomorrow?,ham
Special discount just for you,"Act fast, time is running out!",spam
Limited time offer,Claim your free gift now.,spam
Get rich quickly,Get a special discount on our services. Limited time offer.,spam
Win a million dollars now,Complete this survey and win amazing prizes.,spam
Your invoice is ready,Looking forward to seeing you at the family reunion.,ham
Get rich quickly,Click this link to claim your prize.,spam
Reminder: upcoming event,Reminder for the event this Saturday.,ham
Family reunion next week,"Just checking in, hope you're doing well.",ham
Your invoice is ready,Your invoice for the last month is attached.,ham
Free gift inside,Claim your free gift now.,spam
Earn money fast,Unlock your full potential with our course.,spam
Urgent response needed,Earn up to $5000 a week from home!,spam
Project deadline,Please confirm your availability for tomorrow's meeting.,ham
Act now to secure your spot,Earn up to $5000 a week from home!,spam
Free gift inside,Claim your free gift now.,spam
Earn money fast,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Win a million dollars now,Earn up to $5000 a week from home!,spam
Act now to secure your spot,Get a special discount on our services. Limited time offer.,spam
Special discount just for you,Earn up to $5000 a week from home!,spam
Project deadline,Reminder for the event this Saturday.,ham
Urgent response needed,Earn up to $5000 a week from home!,spam
Project deadline,Looking forward to seeing you at the family reunion.,ham
Reminder: upcoming event,Please confirm your availability for tomorrow's meeting.,ham
Act now to secure your spot,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Special discount just for you,"Act fast, time is running out!",spam
Win a million dollars now,Unlock your full potential with our course.,spam
You have won a lottery,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Urgent response needed,Unlock your full potential with our course.,spam
"Congratulations, claim your prize",Get a special discount on our services. Limited time offer.,spam
Free gift inside,Complete this survey and win amazing prizes.,spam
Urgent response needed,Complete this survey and win amazing prizes.,spam
How are you doing?,The project deadline is next week.,ham
Urgent response needed,Unlock your full potential with our course.,spam
Act now to secure your spot,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Project deadline,Here is the weekly newsletter.,ham
Meeting tomorrow,Reminder for the event this Saturday.,ham
Project deadline,Your order has been shipped and will arrive soon.,ham
Special discount just for you,Claim your free gift now.,spam
Win a million dollars now,Click this link to claim your prize.,spam
Family reunion next week,You're invited to a party this weekend.,ham
Project deadline,Your order has been shipped and will arrive soon.,ham
Win a million dollars now,Complete this survey and win amazing prizes.,spam
Get rich quickly,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Get rich quickly,"Buy one, get one free for a limited time only!",spam
Win a million dollars now,Complete this survey and win amazing prizes.,spam
Project deadline,Your invoice for the last month is attached.,ham
You have won a lottery,Claim your free gift now.,spam
Urgent response needed,Claim your free gift now.,spam
Family reunion next week,Here is the weekly newsletter.,ham
Earn money fast,Unlock your full potential with our course.,spam
Get rich quickly,"Congratulations, you have won a lottery! Follow the link to claim.",spam
You have won a lottery,"Act fast, time is running out!",spam
You have won a lottery,"Act fast, time is running out!",spam
Urgent response needed,Get a special discount on our services. Limited time offer.,spam
Your invoice is ready,You're invited to a party this weekend.,ham
Project deadline,Please confirm your availability for tomorrow's meeting.,ham
Get rich quickly,Win big with our new lottery draw!,spam
Urgent response needed,Click this link to claim your prize.,spam
You have won a lottery,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Project deadline,Reminder for the event this Saturday.,ham
Reminder: upcoming event,Here is the weekly newsletter.,ham
How are you doing?,Your invoice for the last month is attached.,ham
Free gift inside,Claim your free gift now.,spam
Special discount just for you,Click this link to claim your prize.,spam
Get rich quickly,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Weekly newsletter,Looking forward to seeing you at the family reunion.,ham
Weekly newsletter,"Just checking in, hope you're doing well.",ham
Meeting tomorrow,Here is the weekly newsletter.,ham
Earn money fast,Unlock your full potential with our course.,spam
Win a million dollars now,Unlock your full potential with our course.,spam
You have won a lottery,Win big with our new lottery draw!,spam
You have won a lottery,Click this link to claim your prize.,spam
Limited time offer,"Act fast, time is running out!",spam
Your order has been shipped,You're invited to a party this weekend.,ham
Weekly newsletter,Your invoice for the last month is attached.,ham
Family reunion next week,Please confirm your availability for tomorrow's meeting.,ham
Invitation to a party,"Just checking in, hope you're doing well.",ham
Urgent response needed,"Buy one, get one free for a limited time only!",spam
Earn money fast,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Meeting tomorrow,Looking forward to seeing you at the family reunion.,ham
Win a million dollars now,Win big with our new lottery draw!,spam
Earn money fast,Claim your free gift now.,spam
Reminder: upcoming event,Here is the weekly newsletter.,ham
Get rich quickly,Click this link to claim your prize.,spam
Free gift inside,Click this link to claim your prize.,spam
Free gift inside,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Special discount just for you,Unlock your full potential with our course.,spam
Limited time offer,"Buy one, get one free for a limited time only!",spam
Your order has been shipped,Reminder for the event this Saturday.,ham
Lunch with John,"Just checking in, hope you're doing well.",ham
Act now to secure your spot,Get a special discount on our services. Limited time offer.,spam
Lunch with John,The project deadline is next week.,ham
Reminder: upcoming event,Looking forward to seeing you at the family reunion.,ham
Invitation to a party,Looking forward to seeing you at the family reunion.,ham
Weekly newsletter,Your order has been shipped and will arrive soon.,ham
You have won a lottery,Complete this survey and win amazing prizes.,spam
How are you doing?,The project deadline is next week.,ham
Earn money fast,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Project deadline,Please confirm your availability for tomorrow's meeting.,ham
How are you doing?,Here is the weekly newsletter.,ham
Act now to secure your spot,Earn up to $5000 a week from home!,spam
Your order has been shipped,Your order has been shipped and will arrive soon.,ham
You have won a lottery,"Buy one, get one free for a limited time only!",spam
Get rich quickly,"Buy one, get one free for a limited time only!",spam
Act now to secure your spot,Claim your free gift now.,spam
Special discount just for you,Win big with our new lottery draw!,spam
Get rich quickly,Win big with our new lottery draw!,spam
Family reunion next week,The project deadline is next week.,ham
Family reunion next week,"Just checking in, hope you're doing well.",ham
Earn money fast,Complete this survey and win amazing prizes.,spam
You have won a lottery,Complete this survey and win amazing prizes.,spam
Win a million dollars now,Get a special discount on our services. Limited time offer.,spam
How are you doing?,The project deadline is next week.,ham
Your order has been shipped,Your invoice for the last month is attached.,ham
Earn money fast,"Act fast, time is running out!",spam
Weekly newsletter,Reminder for the event this Saturday.,ham
Invitation to a party,"Just checking in, hope you're doing well.",ham
Weekly newsletter,Here is the weekly newsletter.,ham
Limited time offer,Earn up to $5000 a week from home!,spam
Meeting tomorrow,"Just checking in, hope you're doing well.",ham
Invitation to a party,Here is the weekly newsletter.,ham
Act now to secure your spot,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Meeting tomorrow,Looking forward to seeing you at the family reunion.,ham
"Congratulations, claim your prize",Claim your free gift now.,spam
Earn money fast,Get a special discount on our services. Limited time offer.,spam
Family reunion next week,Reminder for the event this Saturday.,ham
Project deadline,Are you available for lunch tomorrow?,ham
Reminder: upcoming event,Reminder for the event this Saturday.,ham
Special discount just for you,Click this link to claim your prize.,spam
Reminder: upcoming event,Please confirm your availability for tomorrow's meeting.,ham
Reminder: upcoming event,You're invited to a party this weekend.,ham
Lunch with John,Here is the weekly newsletter.,ham
Invitation to a party,Looking forward to seeing you at the family reunion.,ham
You have won a lottery,Win big with our new lottery draw!,spam
Urgent response needed,"Congratulations, you have won a lottery! Follow the link to claim.",spam
You have won a lottery,Complete this survey and win amazing prizes.,spam
Project deadline,Please confirm your availability for tomorrow's meeting.,ham
Free gift inside,Earn up to $5000 a week from home!,spam
Reminder: upcoming event,Your order has been shipped and will arrive soon.,ham
How are you doing?,Your invoice for the last month is attached.,ham
Get rich quickly,Earn up to $5000 a week from home!,spam
Earn money fast,Earn up to $5000 a week from home!,spam
Free gift inside,Click this link to claim your prize.,spam
Meeting tomorrow,Please confirm your availability for tomorrow's meeting.,ham
Earn money fast,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Lunch with John,The project deadline is next week.,ham
Weekly newsletter,Are you available for lunch tomorrow?,ham
Free gift inside,Win big with our new lottery draw!,spam
Win a million dollars now,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Family reunion next week,Please confirm your availability for tomorrow's meeting.,ham
Special discount just for you,Click this link to claim your prize.,spam
Special discount just for you,"Buy one, get one free for a limited time only!",spam
Your invoice is ready,Your invoice for the last month is attached.,ham
Urgent response needed,Complete this survey and win amazing prizes.,spam
Limited time offer,Complete this survey and win amazing prizes.,spam
Your order has been shipped,Please confirm your availability for tomorrow's meeting.,ham
Reminder: upcoming event,"Just checking in, hope you're doing well.",ham
How are you doing?,The project deadline is next week.,ham
Win a million dollars now,Claim your free gift now.,spam
Special discount just for you,"Buy one, get one free for a limited time only!",spam
Reminder: upcoming event,The project deadline is next week.,ham
Get rich quickly,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Project deadline,The project deadline is next week.,ham
Lunch with John,"Just checking in, hope you're doing well.",ham
Your order has been shipped,Your invoice for the last month is attached.,ham
Get rich quickly,"Act fast, time is running out!",spam
Urgent response needed,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Limited time offer,Click this link to claim your prize.,spam
Win a million dollars now,Unlock your full potential with our course.,spam
Get rich quickly,"Buy one, get one free for a limited time only!",spam
Free gift inside,Earn up to $5000 a week from home!,spam
Family reunion next week,Looking forward to seeing you at the family reunion.,ham
You have won a lottery,Click this link to claim your prize.,spam
Family reunion next week,Please confirm your availability for tomorrow's meeting.,ham
Free gift inside,"Buy one, get one free for a limited time only!",spam
Free gift inside,Win big with our new lottery draw!,spam
Limited time offer,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Act now to secure your spot,Unlock your full potential with our course.,spam
Special discount just for you,Click this link to claim your prize.,spam
Invitation to a party,You're invited to a party this weekend.,ham
How are you doing?,Here is the weekly newsletter.,ham
Reminder: upcoming event,Please confirm your availability for tomorrow's meeting.,ham
Lunch with John,Here is the weekly newsletter.,ham
Limited time offer,Win big with our new lottery draw!,spam
Family reunion next week,Reminder for the event this Saturday.,ham
Earn money fast,Click this link to claim your prize.,spam
"Congratulations, claim your prize","Buy one, get one free for a limited time only!",spam
Project deadline,Your invoice for the last month is attached.,ham
Limited time offer,Unlock your full potential with our course.,spam
Free gift inside,"Buy one, get one free for a limited time only!",spam
Weekly newsletter,You're invited to a party this weekend.,ham
Earn money fast,Unlock your full potential with our course.,spam
Free gift inside,Win big with our new lottery draw!,spam
Meeting tomorrow,Looking forward to seeing you at the family reunion.,ham
Lunch with John,Your invoice for the last month is attached.,ham
Limited time offer,Click this link to claim your prize.,spam
Invitation to a party,Here is the weekly newsletter.,ham
Your order has been shipped,Looking forward to seeing you at the family reunion.,ham
Your order has been shipped,Please confirm your availability for tomorrow's meeting.,ham
"Congratulations, claim your prize",Get a special discount on our services. Limited time offer.,spam
Earn money fast,Earn up to $5000 a week from home!,spam
Win a million dollars now,"Buy one, get one free for a limited time only!",spam
Weekly newsletter,Your order has been shipped and will arrive soon.,ham
Your invoice is ready,The project deadline is next week.,ham
Weekly newsletter,The project deadline is next week.,ham
Weekly newsletter,You're invited to a party this weekend.,ham
Free gift inside,"Buy one, get one free for a limited time only!",spam
Your invoice is ready,Please confirm your availability for tomorrow's meeting.,ham
Family reunion next week,Looking forward to seeing you at the family reunion.,ham
Project deadline,Reminder for the event this Saturday.,ham
Invitation to a party,Reminder for the event this Saturday.,ham
You have won a lottery,Click this link to claim your prize.,spam
Family reunion next week,The project deadline is next week.,ham
Meeting tomorrow,Reminder for the event this Saturday.,ham
Reminder: upcoming event,"Just checking in, hope you're doing well.",ham
Lunch with John,The project deadline is next week.,ham
Special discount just for you,Earn up to $5000 a week from home!,spam
Special discount just for you,"Buy one, get one free for a limited time only!",spam
Limited time offer,"Act fast, time is running out!",spam
Limited time offer,Unlock your full potential with our course.,spam
Free gift inside,Unlock your full potential with our course.,spam
Act now to secure your spot,Win big with our new lottery draw!,spam
Act now to secure your spot,Win big with our new lottery draw!,spam
Your order has been shipped,Your order has been shipped and will arrive soon.,ham
Family reunion next week,"Just checking in, hope you're doing well.",ham
Family reunion next week,Please confirm your availability for tomorrow's meeting.,ham
Urgent response needed,Click this link to claim your prize.,spam
"Congratulations, claim your prize","Act fast, time is running out!",spam
Act now to secure your spot,Win big with our new lottery draw!,spam
Special discount just for you,Unlock your full potential with our course.,spam
Act now to secure your spot,Get a special discount on our services. Limited time offer.,spam
Weekly newsletter,Looking forward to seeing you at the family reunion.,ham
Earn money fast,Get a special discount on our services. Limited time offer.,spam
Earn money fast,Earn up to $5000 a week from home!,spam
Meeting tomorrow,Your order has been shipped and will arrive soon.,ham
You have won a lottery,"Congratulations, you have won a lottery! Follow the link to claim.",spam
Free gift inside,Get a special discount on our services. Limited time offer.,spam
Earn money fast,Complete this survey and win amazing prizes.,spam
Act now to secure your spot,Get a special discount on our services. Limited time offer.,spam
Your order has been shipped,The project deadline is next week.,ham
Earn money fast,Complete this survey and win amazing prizes.,spam
Win a million dollars now,Unlock your full potential with our course.,spam
Free gift inside,Complete this survey and win amazing prizes.,spam
Your order has been shipped,You're invited to a party this weekend.,ham
Meeting tomorrow,Are you available for lunch tomorrow?,ham
Your order has been shipped,"Just checking in, hope you're doing well.",ham
Lunch with John,Your invoice for the last month is attached.,ham
Urgent response needed,Win big with our new lottery draw!,spam
Invitation to a party,Reminder for the event this Saturday.,ham
Urgent response needed,Claim your free gift now.,spam
Your order has been shipped,The project deadline is next week.,ham
Project deadline,Looking forward to seeing you at the family reunion.,ham
"Congratulations, claim your prize",Win big with our new lottery draw!,spam
Weekly newsletter,"Just checking in, hope you're doing well.",ham
Get rich quickly,Get a special discount on our services. Limited time offer.,spam
Earn money fast,Unlock your full potential with our course.,spam
"Congratulations, claim your prize","Buy one, get one free for a limited time only!",spam
Meeting tomorrow,"Just checking in, hope you're doing well.",ham
Earn money fast,Complete this survey and win amazing prizes.,spam
Family reunion next week,Your order has been shipped and will arrive soon.,ham
Act now to secure your spot,Get a special discount on our services. Limited time offer.,spam
Win a million dollars now,Unlock your full potential with our course.,spam
Limited time offer,Complete this survey and win amazing prizes.,spam
Meeting tomorrow,You're invited to a party this weekend.,ham
Get rich quickly,"Congratulations, you have won a lottery! Follow the link to claim.",spam
